id,siafi_id,nome,latitude,longitude,capital,estado_id,ddd,fuso_horario,micro_id,meso_id
5200050,1050,Abadia de Goiás,-16.7573,-49.4412,0,52,62,America/Sao_Paulo,540,132
3100104,4001,Abadia dos Dourados,-18.4831,-47.3916,0,31,34,America/Sao_Paulo,253,63
5200100,9201,Abadiânia,-16.197,-48.7057,0,52,62,America/Sao_Paulo,541,133
3100203,4003,Abaeté,-19.1551,-45.4444,0,31,37,America/Sao_Paulo,254,64
1500107,401,Abaetetuba,-1.72183,-48.8788,0,15,91,America/Sao_Paulo,31,11
2300101,1301,Abaiara,-7.34588,-39.0416,0,23,88,America/Sao_Paulo,101,30
2900108,3301,Abaíra,-13.2488,-41.6619,0,29,77,America/Sao_Paulo,221,56
2900207,3303,Abaré,-8.72073,-39.1162,0,29,75,America/Sao_Paulo,222,57
4100103,7401,Abatiá,-23.3049,-50.3133,0,41,43,America/Sao_Paulo,413,100
4200051,9939,Abdon Batista,-27.6126,-51.0233,0,42,49,America/Sao_Paulo,452,110
1500131,375,Abel Figueiredo,-4.95333,-48.3933,0,15,94,America/Sao_Paulo,32,12
4200101,8001,Abelardo Luz,-26.5716,-52.3229,0,42,49,America/Sao_Paulo,453,111
3100302,4005,Abre Campo,-20.2996,-42.4743,0,31,31,America/Sao_Paulo,255,65
2600054,2631,Abreu e Lima,-7.90072,-34.8984,0,26,81,America/Sao_Paulo,176,45
1700251,337,Abreulândia,-9.62101,-49.1518,0,17,63,America/Sao_Paulo,57,19
3100401,4007,Acaiaca,-20.359,-43.1439,0,31,31,America/Sao_Paulo,256,65
2100055,961,Açailândia,-4.94714,-47.5004,0,21,99,America/Sao_Paulo,65,21
2900306,3305,Acajutiba,-11.6575,-38.0197,0,29,75,America/Sao_Paulo,223,58
1500206,403,Acará,-1.95383,-48.1985,0,15,91,America/Sao_Paulo,33,11
2300150,1231,Acarape,-4.22083,-38.7055,0,23,85,America/Sao_Paulo,102,31
2300200,1303,Acaraú,-2.88769,-40.1183,0,23,88,America/Sao_Paulo,103,32
2400109,1601,Acari,-6.4282,-36.6347,0,24,84,America/Sao_Paulo,134,37
2200053,266,Acauã,-8.21954,-41.0831,0,22,89,America/Sao_Paulo,86,26
4300034,1118,Aceguá,-31.8665,-54.1615,0,43,53,America/Sao_Paulo,472,116
2300309,1305,Acopiara,-6.08911,-39.448,0,23,88,America/Sao_Paulo,104,33
5100102,9001,Acorizal,-15.194,-56.3632,0,51,65,America/Porto_Velho,518,127
1200013,643,Acrelândia,-9.82581,-66.8972,0,12,68,America/Rio_Branco,9,3
5200134,9645,Acreúna,-17.396,-50.3749,0,52,64,America/Sao_Paulo,542,134
2400208,1603,Açu,-5.58362,-36.914,0,24,84,America/Sao_Paulo,135,38
3100500,4009,Açucena,-19.0671,-42.5419,0,31,33,America/Sao_Paulo,257,66
3500105,6101,Adamantina,-21.682,-51.0737,0,35,18,America/Sao_Paulo,350,85
5200159,9769,Adelândia,-16.4127,-50.1657,0,52,64,America/Sao_Paulo,543,132
3500204,6103,Adolfo,-21.2325,-49.6451,0,35,17,America/Sao_Paulo,351,86
4100202,7403,Adrianópolis,-24.6606,-48.9922,0,41,41,America/Sao_Paulo,414,101
2900355,3253,Adustina,-10.5437,-38.1113,0,29,75,America/Sao_Paulo,224,58
2600104,2301,Afogados da Ingazeira,-7.74312,-37.631,0,26,87,America/Sao_Paulo,177,46
2400307,1605,Afonso Bezerra,-5.49229,-36.5075,0,24,84,America/Sao_Paulo,136,37
3200102,5601,Afonso Cláudio,-20.0778,-41.1261,0,32,27,America/Sao_Paulo,319,75
2100105,701,Afonso Cunha,-4.13631,-43.3275,0,21,98,America/Sao_Paulo,66,22
2600203,2303,Afrânio,-8.51136,-41.0095,0,26,87,America/Sao_Paulo,178,47
1500305,405,Afuá,-0.154874,-50.3861,0,15,91,America/Sao_Paulo,34,13
2600302,2305,Agrestina,-8.45966,-35.9447,0,26,81,America/Sao_Paulo,179,48
2200103,1001,Agricolândia,-5.79676,-42.6664,0,22,86,America/Sao_Paulo,87,27
4200200,8003,Agrolândia,-27.4087,-49.822,0,42,47,America/Sao_Paulo,454,112
4200309,8005,Agronômica,-27.2662,-49.708,0,42,47,America/Sao_Paulo,455,112
1500347,383,Água Azul do Norte,-6.79053,-50.4791,0,15,94,America/Sao_Paulo,35,12
3100609,4011,Água Boa,-17.9914,-42.3806,0,31,33,America/Sao_Paulo,258,66
5100201,9191,Água Boa,-14.051,-52.1601,0,51,66,America/Porto_Velho,519,128
2200202,1003,Água Branca,-5.88856,-42.637,0,22,86,America/Sao_Paulo,87,27
2500106,1901,Água Branca,-7.51144,-37.6357,0,25,83,America/Sao_Paulo,153,41
2700102,2701,Água Branca,-9.262,-37.938,0,27,82,America/Sao_Paulo,195,50
5000203,9003,Água Clara,-20.4452,-52.879,0,50,67,America/Porto_Velho,507,123
3100708,4013,Água Comprida,-20.0576,-48.1069,0,31,34,America/Sao_Paulo,259,63
4200408,8007,Água Doce,-26.9985,-51.5528,0,42,49,America/Sao_Paulo,456,111
2100154,104,Água Doce do Maranhão,-2.84048,-42.1189,0,21,98,America/Sao_Paulo,67,22
3200169,5717,Água Doce do Norte,-18.5482,-40.9854,0,32,27,America/Sao_Paulo,320,76
2900405,3307,Água Fria,-11.8618,-38.7639,0,29,75,America/Sao_Paulo,225,59
5200175,9771,Água Fria de Goiás,-14.9778,-47.7823,0,52,62,America/Sao_Paulo,541,133
5200209,9203,Água Limpa,-18.0771,-48.7603,0,52,64,America/Sao_Paulo,544,134
2400406,1607,Água Nova,-6.20351,-38.2941,0,24,84,America/Sao_Paulo,137,38
2600401,2307,Água Preta,-8.70609,-35.5263,0,26,81,America/Sao_Paulo,180,49
4300059,8499,Água Santa,-28.1672,-52.031,0,43,54,America/Sao_Paulo,473,117
3500303,6105,Aguaí,-22.0572,-46.9735,0,35,19,America/Sao_Paulo,352,87
3100807,4015,Aguanil,-20.9439,-45.3915,0,31,35,America/Sao_Paulo,260,67
2600500,2309,Águas Belas,-9.11125,-37.1226,0,26,87,America/Sao_Paulo,181,48
3500402,6107,Águas da Prata,-21.9319,-46.7176,0,35,19,America/Sao_Paulo,353,87
4200507,8009,Águas de Chapecó,-27.0754,-52.9808,0,42,49,America/Sao_Paulo,457,111
3500501,6109,Águas de Lindóia,-22.4733,-46.6314,0,35,19,America/Sao_Paulo,354,87
3500550,7019,Águas de Santa Bárbara,-22.8812,-49.2421,0,35,14,America/Sao_Paulo,355,88
3500600,6111,Águas de São Pedro,-22.5977,-47.8734,0,35,19,America/Sao_Paulo,356,89
3100906,4017,Águas Formosas,-17.0802,-40.9384,0,31,33,America/Sao_Paulo,261,68
4200556,5577,Águas Frias,-26.8794,-52.8568,0,42,49,America/Sao_Paulo,457,111
5200258,1052,Águas Lindas de Goiás,-15.7617,-48.2816,0,52,61,America/Sao_Paulo,541,133
4200606,8011,Águas Mornas,-27.6963,-48.8243,0,42,48,America/Sao_Paulo,458,113
3101003,4019,Águas Vermelhas,-15.7431,-41.4571,0,31,33,America/Sao_Paulo,262,69
4300109,8501,Agudo,-29.6447,-53.2515,0,43,55,America/Sao_Paulo,474,118
3500709,6113,Agudos,-22.4694,-48.9863,0,35,14,America/Sao_Paulo,357,88
4100301,7405,Agudos do Sul,-25.9899,-49.3343,0,41,41,America/Sao_Paulo,415,101
3200136,5733,Águia Branca,-18.9846,-40.7437,0,32,27,America/Sao_Paulo,321,76
2500205,1903,Aguiar,-7.0918,-38.1681,0,25,83,America/Sao_Paulo,154,41
1700301,72,Aguiarnópolis,-6.55409,-47.4702,0,17,63,America/Sao_Paulo,58,19
3101102,4021,Aimorés,-19.5007,-41.0746,0,31,33,America/Sao_Paulo,263,66
2900603,3311,Aiquara,-14.1269,-39.8937,0,29,73,America/Sao_Paulo,226,56
2300408,1307,Aiuaba,-6.57122,-40.1178,0,23,88,America/Sao_Paulo,105,33
3101201,4023,Aiuruoca,-21.9736,-44.6042,0,31,35,America/Sao_Paulo,264,70
4300208,8503,Ajuricaba,-28.2342,-53.7757,0,43,55,America/Sao_Paulo,475,117
3101300,4025,Alagoa,-22.171,-44.6413,0,31,35,America/Sao_Paulo,265,70
2500304,1905,Alagoa Grande,-7.03943,-35.6206,0,25,83,America/Sao_Paulo,155,42
2500403,1907,Alagoa Nova,-7.05377,-35.7591,0,25,83,America/Sao_Paulo,155,42
2500502,1909,Alagoinha,-6.94657,-35.5332,0,25,83,America/Sao_Paulo,156,42
2600609,2311,Alagoinha,-8.4665,-36.7788,0,26,87,America/Sao_Paulo,182,48
2200251,9767,Alagoinha do Piauí,-7.00039,-40.9282,0,22,89,America/Sao_Paulo,88,26
2900702,3313,Alagoinhas,-12.1335,-38.4208,0,29,75,America/Sao_Paulo,223,58
3500758,2995,Alambari,-23.5503,-47.898,0,35,15,America/Sao_Paulo,358,90
3101409,4027,Albertina,-22.2018,-46.6139,0,31,35,America/Sao_Paulo,266,70
2100204,703,Alcântara,-2.39574,-44.4062,0,21,98,America/Sao_Paulo,68,23
2300507,1309,Alcântaras,-3.58537,-40.5479,0,23,88,America/Sao_Paulo,106,32
2500536,440,Alcantil,-7.73668,-36.0511,0,25,83,America/Sao_Paulo,157,43
5000252,141,Alcinópolis,-18.3255,-53.7042,0,50,67,America/Porto_Velho,508,124
2900801,3315,Alcobaça,-17.5195,-39.2036,0,29,73,America/Sao_Paulo,227,60
2100303,705,Aldeias Altas,-4.62621,-43.4689,0,21,99,America/Sao_Paulo,66,22
4300307,8505,Alecrim,-27.6579,-54.7649,0,43,55,America/Sao_Paulo,476,117
3200201,5603,Alegre,-20.758,-41.5382,0,32,28,America/Sao_Paulo,322,77
4300406,8507,Alegrete,-29.7902,-55.7949,0,43,55,America/Sao_Paulo,477,116
2200277,2269,Alegrete do Piauí,-7.24196,-40.8566,0,22,89,America/Sao_Paulo,88,26
4300455,8497,Alegria,-27.8345,-54.0557,0,43,55,America/Sao_Paulo,475,117
3101508,4029,Além Paraíba,-21.8797,-42.7176,0,31,32,America/Sao_Paulo,267,65
1500404,407,Alenquer,-1.94623,-54.7384,0,15,93,America/Sao_Paulo,36,14
2400505,1609,Alexandria,-6.40533,-38.0142,0,24,84,America/Sao_Paulo,138,38
5200308,9205,Alexânia,-16.0834,-48.5076,0,52,62,America/Sao_Paulo,541,133
3101607,4031,Alfenas,-21.4256,-45.9477,0,31,35,America/Sao_Paulo,268,70
3200300,5605,Alfredo Chaves,-20.6396,-40.7543,0,32,27,America/Sao_Paulo,323,75
3500808,6115,Alfredo Marcondes,-21.9527,-51.414,0,35,18,America/Sao_Paulo,359,85
3101631,2681,Alfredo Vasconcelos,-21.1535,-43.7718,0,31,32,America/Sao_Paulo,269,71
4200705,8013,Alfredo Wagner,-27.7001,-49.3273,0,42,48,America/Sao_Paulo,458,113
2500577,442,Algodão de Jandaíra,-6.89292,-36.0129,0,25,83,America/Sao_Paulo,158,42
2500601,1911,Alhandra,-7.42977,-34.9057,0,25,83,America/Sao_Paulo,159,44
2600708,2313,Aliança,-7.60398,-35.2227,0,26,81,America/Sao_Paulo,183,49
1700350,9441,Aliança do Tocantins,-11.3056,-48.9361,0,17,63,America/Sao_Paulo,59,19
2900900,3317,Almadina,-14.7089,-39.6415,0,29,73,America/Sao_Paulo,228,60
1700400,9207,Almas,-11.5706,-47.1792,0,17,63,America/Sao_Paulo,60,20
1500503,409,Almeirim,-1.52904,-52.5788,0,15,93,America/Sao_Paulo,37,14
3101706,4033,Almenara,-16.1785,-40.6942,0,31,33,America/Sao_Paulo,270,72
2400604,1611,Almino Afonso,-6.1475,-37.7636,0,24,84,America/Sao_Paulo,139,38
4100400,7407,Almirante Tamandaré,-25.3188,-49.3037,0,41,41,America/Sao_Paulo,416,101
4300471,1120,Almirante Tamandaré do Sul,-28.1149,-52.9142,0,43,54,America/Sao_Paulo,478,117
5200506,9209,Aloândia,-17.7292,-49.4769,0,52,64,America/Sao_Paulo,544,134
3101805,4035,Alpercata,-18.974,-41.97,0,31,33,America/Sao_Paulo,271,66
4300505,8509,Alpestre,-27.2502,-53.0341,0,43,55,America/Sao_Paulo,479,117
3101904,4037,Alpinópolis,-20.8631,-46.3878,0,31,35,America/Sao_Paulo,272,70
5100250,8987,Alta Floresta,-9.86674,-56.0867,0,51,66,America/Porto_Velho,520,129
1100015,33,Alta Floresta D'Oeste,-11.9283,-61.9953,0,11,69,America/Porto_Velho,1,1
3500907,6117,Altair,-20.5242,-49.0571,0,35,17,America/Sao_Paulo,351,86
1500602,411,Altamira,-3.20407,-52.21,0,15,93,America/Sao_Paulo,38,15
2100402,707,Altamira do Maranhão,-4.16598,-45.4706,0,21,98,America/Sao_Paulo,69,21
4100459,8455,Altamira do Paraná,-24.7983,-52.7128,0,41,44,America/Sao_Paulo,417,102
2300606,1311,Altaneira,-6.99837,-39.7356,0,23,88,America/Sao_Paulo,107,30
3102001,4039,Alterosa,-21.2488,-46.1387,0,31,35,America/Sao_Paulo,268,70
2600807,2315,Altinho,-8.48482,-36.0644,0,26,81,America/Sao_Paulo,179,48
3501004,6119,Altinópolis,-21.0214,-47.3712,0,35,16,America/Sao_Paulo,360,91
3501103,6121,Alto Alegre,-21.5811,-50.168,0,35,18,America/Sao_Paulo,361,92
1400050,305,Alto Alegre,2.98858,-61.3072,0,14,95,America/Porto_Velho,27,9
4300554,8495,Alto Alegre,-28.7769,-52.9893,0,43,54,America/Sao_Paulo,480,117
2100436,106,Alto Alegre do Maranhão,-4.213,-44.446,0,21,99,America/Sao_Paulo,70,22
2100477,108,Alto Alegre do Pindaré,-3.66689,-45.8421,0,21,98,America/Sao_Paulo,69,21
1100379,2,Alto Alegre dos Parecis,-12.132,-61.835,0,11,69,America/Porto_Velho,1,1
5100300,9005,Alto Araguaia,-17.3153,-53.2181,0,51,66,America/Porto_Velho,521,130
4200754,886,Alto Bela Vista,-27.4333,-51.9044,0,42,49,America/Sao_Paulo,459,111
5100359,127,Alto Boa Vista,-11.6732,-51.3883,0,51,66,America/Porto_Velho,522,128
3102050,564,Alto Caparaó,-20.431,-41.8738,0,31,32,America/Sao_Paulo,255,65
2400703,1613,Alto do Rodrigues,-5.28186,-36.75,0,24,84,America/Sao_Paulo,135,38
4300570,6045,Alto Feliz,-29.3919,-51.3123,0,43,51,America/Sao_Paulo,481,119
5100409,9007,Alto Garças,-16.9462,-53.5272,0,51,66,America/Porto_Velho,521,130
5200555,85,Alto Horizonte,-14.1978,-49.3378,0,52,62,America/Sao_Paulo,545,135
3153509,5069,Alto Jequitibá,-20.4208,-41.967,0,31,33,America/Sao_Paulo,255,65
2200301,1005,Alto Longá,-5.25634,-42.2096,0,22,86,America/Sao_Paulo,89,27
5100508,9009,Alto Paraguai,-14.5137,-56.4776,0,51,65,America/Porto_Velho,523,127
4128625,5523,Alto Paraíso,-26.1146,-52.7469,0,41,44,America/Sao_Paulo,418,103
1100403,675,Alto Paraíso,-9.71429,-63.3188,0,11,69,America/Porto_Velho,2,1
5200605,9211,Alto Paraíso de Goiás,-14.1305,-47.51,0,52,62,America/Sao_Paulo,546,135
4100608,7409,Alto Paraná,-23.1312,-52.3189,0,41,44,America/Sao_Paulo,419,103
2100501,709,Alto Parnaíba,-9.10273,-45.9303,0,21,99,America/Sao_Paulo,71,24
4100707,7411,Alto Piquiri,-24.0224,-53.44,0,41,44,America/Sao_Paulo,418,103
3102100,4041,Alto Rio Doce,-21.0281,-43.4067,0,31,32,America/Sao_Paulo,273,65
3200359,5719,Alto Rio Novo,-19.0618,-41.0209,0,32,27,America/Sao_Paulo,324,76
2300705,1313,Alto Santo,-5.50894,-38.2743,0,23,88,America/Sao_Paulo,108,34
5100607,9911,Alto Taquari,-17.8241,-53.2792,0,51,66,America/Porto_Velho,521,130
4100509,7951,Altônia,-23.8759,-53.8958,0,41,44,America/Sao_Paulo,418,103
2200400,1007,Altos,-5.03888,-42.4612,0,22,86,America/Sao_Paulo,90,27
3501152,3065,Alumínio,-23.5306,-47.2546,0,35,11,America/Sao_Paulo,362,93
1300029,289,Alvarães,-3.22727,-64.8007,0,13,97,America/Porto_Velho,14,5
3102209,4043,Alvarenga,-19.4174,-41.7317,0,31,33,America/Sao_Paulo,263,66
3501202,6123,Álvares Florence,-20.3203,-49.9141,0,35,17,America/Sao_Paulo,363,86
3501301,6125,Álvares Machado,-22.0764,-51.4722,0,35,18,America/Sao_Paulo,359,85
3501400,6127,Álvaro de Carvalho,-22.0841,-49.719,0,35,14,America/Sao_Paulo,364,94
3501509,6129,Alvinlândia,-22.4435,-49.7623,0,35,14,America/Sao_Paulo,364,94
3102308,4045,Alvinópolis,-20.1098,-43.0535,0,31,31,America/Sao_Paulo,274,73
1700707,9213,Alvorada,-12.4785,-49.1249,0,17,63,America/Sao_Paulo,59,19
4300604,8511,Alvorada,-29.9914,-51.0809,0,43,51,America/Sao_Paulo,482,119
1100346,35,Alvorada D'Oeste,-11.3463,-62.2847,0,11,69,America/Porto_Velho,3,1
3102407,4047,Alvorada de Minas,-18.7334,-43.3638,0,31,31,America/Sao_Paulo,275,73
2200459,268,Alvorada do Gurguéia,-8.42418,-43.777,0,22,89,America/Sao_Paulo,91,28
5200803,9215,Alvorada do Norte,-14.4797,-46.491,0,52,62,America/Sao_Paulo,547,133
4100806,7413,Alvorada do Sul,-22.7813,-51.2297,0,41,43,America/Sao_Paulo,420,104
1400027,26,Amajari,3.64571,-61.3692,0,14,95,America/Porto_Velho,27,9
5000609,9011,Amambai,-23.1058,-55.2253,0,50,67,America/Porto_Velho,509,125
1600105,601,Amapá,2.05267,-50.7957,0,16,96,America/Sao_Paulo,53,17
2100550,110,Amapá do Maranhão,-1.67524,-46.0024,0,21,98,America/Sao_Paulo,72,21
4100905,7415,Amaporã,-23.0943,-52.7866,0,41,44,America/Sao_Paulo,419,103
2600906,2317,Amaraji,-8.37691,-35.4501,0,26,81,America/Sao_Paulo,180,49
4300638,8493,Amaral Ferrador,-30.8756,-52.2509,0,43,51,America/Sao_Paulo,483,120
5200829,1054,Amaralina,-13.9236,-49.2962,0,52,62,America/Sao_Paulo,545,135
2200509,1009,Amarante,-6.24304,-42.8433,0,22,86,America/Sao_Paulo,87,27
2100600,711,Amarante do Maranhão,-5.56913,-46.7473,0,21,99,America/Sao_Paulo,65,21
2901007,3319,Amargosa,-13.0215,-39.602,0,29,75,America/Sao_Paulo,226,56
1300060,291,Amaturá,-3.37455,-68.2005,0,13,97,America/Porto_Velho,15,6
2901106,3321,Amélia Rodrigues,-12.3914,-38.7563,0,29,75,America/Sao_Paulo,229,61
2901155,3071,América Dourada,-11.4429,-41.439,0,29,74,America/Sao_Paulo,230,59
3501608,6131,Americana,-22.7374,-47.3331,0,35,19,America/Sao_Paulo,365,87
5200852,9661,Americano do Brasil,-16.2514,-49.9831,0,52,64,America/Sao_Paulo,543,132
3501707,6133,Américo Brasiliense,-21.7288,-48.1147,0,35,16,America/Sao_Paulo,366,95
3501806,6135,Américo de Campos,-20.2985,-49.7359,0,35,17,America/Sao_Paulo,363,86
4300646,5969,Ametista do Sul,-27.3607,-53.183,0,43,55,America/Sao_Paulo,479,117
2300754,1587,Amontada,-3.36017,-39.8288,0,23,88,America/Sao_Paulo,109,31
5200902,9217,Amorinópolis,-16.6151,-51.0919,0,52,64,America/Sao_Paulo,548,132
2500734,444,Amparo,-7.55502,-37.0628,0,25,83,America/Sao_Paulo,160,43
3501905,6137,Amparo,-22.7088,-46.772,0,35,19,America/Sao_Paulo,354,87
2800100,3101,Amparo de São Francisco,-10.1348,-36.935,0,28,79,America/Sao_Paulo,208,53
3102506,4049,Amparo do Serra,-20.5051,-42.8009,0,31,31,America/Sao_Paulo,273,65
4101002,7417,Ampére,-25.9168,-53.4686,0,41,46,America/Sao_Paulo,421,105
2700201,2703,Anadia,-9.68489,-36.3078,0,27,82,America/Sao_Paulo,196,51
2901205,3323,Anagé,-14.6151,-41.1356,0,29,77,America/Sao_Paulo,231,56
4101051,5463,Anahy,-24.6449,-53.1332,0,41,45,America/Sao_Paulo,422,106
1500701,413,Anajás,-0.996811,-49.9354,0,15,91,America/Sao_Paulo,34,13
2100709,713,Anajatuba,-3.26269,-44.6126,0,21,98,America/Sao_Paulo,73,23
3502002,6139,Analândia,-22.1289,-47.6619,0,35,19,America/Sao_Paulo,367,95
1300086,293,Anamã,-3.56697,-61.3963,0,13,97,America/Porto_Velho,16,5
1701002,9219,Ananás,-6.36437,-48.0735,0,17,63,America/Sao_Paulo,58,19
1500800,415,Ananindeua,-1.36391,-48.3743,0,15,91,America/Sao_Paulo,39,16
5201108,9221,Anápolis,-16.3281,-48.953,0,52,62,America/Sao_Paulo,549,132
1500859,40,Anapu,-3.46985,-51.2003,0,15,91,America/Sao_Paulo,38,15
2100808,715,Anapurus,-3.67577,-43.1014,0,21,98,America/Sao_Paulo,74,22
5000708,9013,Anastácio,-20.4823,-55.8104,0,50,67,America/Porto_Velho,510,126
5000807,9015,Anaurilândia,-22.1852,-52.7191,0,50,67,America/Porto_Velho,511,123
4200804,8015,Anchieta,-26.5382,-53.3319,0,42,49,America/Sao_Paulo,460,111
3200409,5607,Anchieta,-20.7955,-40.6425,0,32,28,America/Sao_Paulo,323,75
2901304,3325,Andaraí,-12.8049,-41.3297,0,29,75,America/Sao_Paulo,221,56
4101101,7419,Andirá,-23.0533,-50.2304,0,41,43,America/Sao_Paulo,413,100
2901353,3255,Andorinha,-10.3482,-39.8391,0,29,74,America/Sao_Paulo,232,59
3102605,4051,Andradas,-22.0695,-46.5724,0,31,35,America/Sao_Paulo,266,70
3502101,6141,Andradina,-20.8948,-51.3786,0,35,18,America/Sao_Paulo,368,92
4300661,8491,André da Rocha,-28.6283,-51.5797,0,43,54,America/Sao_Paulo,484,121
3102803,4055,Andrelândia,-21.7411,-44.3117,0,31,35,America/Sao_Paulo,264,70
3502200,6143,Angatuba,-23.4917,-48.4139,0,35,15,America/Sao_Paulo,358,90
3102852,566,Angelândia,-17.7279,-42.2641,0,31,33,America/Sao_Paulo,276,72
5000856,9169,Angélica,-22.1527,-53.7708,0,50,67,America/Porto_Velho,512,125
2601003,2319,Angelim,-8.88429,-36.2902,0,26,87,America/Sao_Paulo,184,48
4200903,8017,Angelina,-27.5704,-48.9879,0,42,48,America/Sao_Paulo,461,113
2901403,3327,Angical,-12.0063,-44.7003,0,29,77,America/Sao_Paulo,233,62
2200608,1011,Angical do Piauí,-6.08786,-42.74,0,22,86,America/Sao_Paulo,87,27
1701051,165,Angico,-6.39179,-47.8611,0,17,63,America/Sao_Paulo,58,19
2400802,1615,Angicos,-5.65792,-36.6094,0,24,84,America/Sao_Paulo,136,37
3300100,5801,Angra dos Reis,-23.0011,-44.3196,0,33,24,America/Sao_Paulo,332,79
2901502,3329,Anguera,-12.1462,-39.2462,0,29,75,America/Sao_Paulo,225,59
4101150,5509,Ângulo,-23.1946,-51.9154,0,41,44,America/Sao_Paulo,423,104
5201207,9223,Anhanguera,-18.3339,-48.2204,0,52,64,America/Sao_Paulo,550,134
3502309,6145,Anhembi,-22.793,-48.1336,0,35,14,America/Sao_Paulo,369,88
3502408,6147,Anhumas,-22.2934,-51.3895,0,35,18,America/Sao_Paulo,359,85
5201306,9225,Anicuns,-16.4642,-49.9617,0,52,64,America/Sao_Paulo,543,132
2200707,1013,Anísio de Abreu,-9.18564,-43.0494,0,22,89,America/Sao_Paulo,92,28
4201000,8019,Anita Garibaldi,-27.6897,-51.1271,0,42,49,America/Sao_Paulo,462,110
4201109,8021,Anitápolis,-27.9012,-49.1316,0,42,48,America/Sao_Paulo,458,113
1300102,203,Anori,-3.74603,-61.6575,0,13,97,America/Porto_Velho,16,5
4300703,8513,Anta Gorda,-28.9698,-52.0102,0,43,51,America/Sao_Paulo,484,121
2901601,3331,Antas,-10.3856,-38.3401,0,29,75,America/Sao_Paulo,224,58
4101200,7421,Antonina,-25.4386,-48.7191,0,41,41,America/Sao_Paulo,424,101
2300804,1315,Antonina do Norte,-6.76919,-39.987,0,23,88,America/Sao_Paulo,110,35
2200806,1015,Antônio Almeida,-7.21276,-44.1889,0,22,89,America/Sao_Paulo,93,28
2901700,3333,Antônio Cardoso,-12.4335,-39.1176,0,29,75,America/Sao_Paulo,225,59
4201208,8023,Antônio Carlos,-27.5191,-48.766,0,42,48,America/Sao_Paulo,463,113
3102902,4057,Antônio Carlos,-21.321,-43.7451,0,31,32,America/Sao_Paulo,269,71
3103009,4059,Antônio Dias,-19.6491,-42.8732,0,31,31,America/Sao_Paulo,257,66
2901809,3335,Antônio Gonçalves,-10.5767,-40.2785,0,29,74,America/Sao_Paulo,232,59
5000906,9017,Antônio João,-22.1927,-55.9517,0,50,67,America/Porto_Velho,509,125
2400901,1617,Antônio Martins,-6.21367,-37.8834,0,24,84,America/Sao_Paulo,139,38
4101309,7423,Antônio Olinto,-25.9804,-50.1972,0,41,42,America/Sao_Paulo,425,107
4300802,8515,Antônio Prado,-28.8565,-51.2883,0,43,54,America/Sao_Paulo,485,121
3103108,4061,Antônio Prado de Minas,-21.0192,-42.1109,0,31,32,America/Sao_Paulo,277,65
2500775,446,Aparecida,-6.78466,-38.0803,0,25,83,America/Sao_Paulo,161,41
3502507,6149,Aparecida,-22.8495,-45.2325,0,35,12,America/Sao_Paulo,370,96
3502606,6151,Aparecida d'Oeste,-20.4487,-50.8835,0,35,17,America/Sao_Paulo,371,86
5201405,9227,Aparecida de Goiânia,-16.8198,-49.2469,0,52,62,America/Sao_Paulo,540,132
5201454,71,Aparecida do Rio Doce,-18.2941,-51.1516,0,52,64,America/Sao_Paulo,551,134
1701101,9713,Aparecida do Rio Negro,-9.94139,-47.9638,0,17,63,America/Sao_Paulo,61,20
5001003,9019,Aparecida do Taboado,-20.0873,-51.0961,0,50,67,America/Porto_Velho,513,123
3300159,2919,Aperibé,-21.6252,-42.1017,0,33,22,America/Sao_Paulo,333,80
3200508,5609,Apiacá,-21.1523,-41.5693,0,32,28,America/Sao_Paulo,325,77
5100805,9773,Apiacás,-9.53981,-57.4587,0,51,66,America/Porto_Velho,520,129
3502705,6153,Apiaí,-24.5108,-48.8443,0,35,15,America/Sao_Paulo,372,90
2100832,112,Apicum-Açu,-1.45862,-45.0864,0,21,98,America/Sao_Paulo,68,23
4201257,9941,Apiúna,-27.0375,-49.3885,0,42,47,America/Sao_Paulo,464,112
2401008,1619,Apodi,-5.65349,-37.7946,0,24,84,America/Sao_Paulo,140,38
2901908,3337,Aporá,-11.6577,-38.0814,0,29,75,America/Sao_Paulo,223,58
5201504,9229,Aporé,-18.9607,-51.9232,0,52,64,America/Sao_Paulo,551,134
2901957,3257,Apuarema,-13.8542,-39.7501,0,29,73,America/Sao_Paulo,226,56
4101408,7425,Apucarana,-23.55,-51.4635,0,41,43,America/Sao_Paulo,426,104
1300144,969,Apuí,-7.19409,-59.896,0,13,97,America/Porto_Velho,17,7
2300903,1317,Apuiarés,-3.94506,-39.4359,0,23,85,America/Sao_Paulo,111,31
2800209,3103,Aquidabã,-10.278,-37.0148,0,28,79,America/Sao_Paulo,209,54
5001102,9021,Aquidauana,-20.4666,-55.7868,0,50,67,America/Porto_Velho,510,126
